Tool Name,A3000FC - A
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 12:59:24,Jun 30 2024 13:52:34,1:00:53:10,00:01:00,1494

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
1,Jun 29 2024 12:59:24,00:01:00,Jun 29 2024 12:59:39,"0.1","0.1",Jun 29 2024 13:00:18,"0.1",Jun 29 2024 13:00:24
2,Jun 29 2024 13:00:24,00:01:00,Jun 29 2024 13:01:20,"0.1","0.1",Jun 29 2024 13:01:24,"0.1",Jun 29 2024 13:01:24
3,Jun 29 2024 13:01:24,00:01:00,Jun 29 2024 13:02:12,"0.1","0.1",Jun 29 2024 13:02:24,"0.1",Jun 29 2024 13:02:24
4,Jun 29 2024 13:02:24,00:01:00,Jun 29 2024 13:03:11,"1","0.1",Jun 29 2024 13:03:12,"0",Jun 29 2024 13:03:24
5,Jun 29 2024 13:03:24,00:01:00,Jun 29 2024 13:04:14,"0.1","0",Jun 29 2024 13:03:42,"0",Jun 29 2024 13:04:24
6,Jun 29 2024 13:04:24,00:01:00,Jun 29 2024 13:05:04,"0","0",Jun 29 2024 13:04:56,"0",Jun 29 2024 13:05:24
7,Jun 29 2024 13:05:24,00:01:00,Jun 29 2024 13:06:02,"0.1","0",Jun 29 2024 13:05:59,"0",Jun 29 2024 13:06:24
8,Jun 29 2024 13:06:24,00:01:00,Jun 29 2024 13:06:56,"0.1","0",Jun 29 2024 13:06:50,"0",Jun 29 2024 13:07:24
9,Jun 29 2024 13:07:24,00:01:00,Jun 29 2024 13:08:22,"0.1","0",Jun 29 2024 13:08:10,"0",Jun 29 2024 13:08:24
10,Jun 29 2024 13:08:24,00:01:00,Jun 29 2024 13:09:04,"0.1","0",Jun 29 2024 13:08:51,"0",Jun 29 2024 13:09:24
11,Jun 29 2024 13:09:24,00:01:00,Jun 29 2024 13:10:14,"0","0",Jun 29 2024 13:09:32,"0",Jun 29 2024 13:10:24
12,Jun 29 2024 13:10:24,00:01:00,Jun 29 2024 13:10:52,"0.1","0",Jun 29 2024 13:10:32,"0",Jun 29 2024 13:11:24
13,Jun 29 2024 13:11:24,00:01:00,Jun 29 2024 13:12:14,"0.1","0",Jun 29 2024 13:11:38,"0",Jun 29 2024 13:12:24
14,Jun 29 2024 13:12:24,00:01:00,Jun 29 2024 13:13:23,"0.1","0",Jun 29 2024 13:13:22,"0",Jun 29 2024 13:13:24
15,Jun 29 2024 13:13:24,00:01:00,Jun 29 2024 13:14:23,"0.1","0",Jun 29 2024 13:13:59,"0",Jun 29 2024 13:14:24
16,Jun 29 2024 13:14:24,00:01:00,Jun 29 2024 13:14:55,"0.1","0",Jun 29 2024 13:14:39,"0",Jun 29 2024 13:15:24
17,Jun 29 2024 13:15:24,00:01:00,Jun 29 2024 13:16:01,"0.1","0",Jun 29 2024 13:15:28,"0",Jun 29 2024 13:16:24
18,Jun 29 2024 13:16:24,00:01:00,Jun 29 2024 13:17:12,"0.1","0",Jun 29 2024 13:16:25,"0",Jun 29 2024 13:17:24
19,Jun 29 2024 13:17:24,00:01:00,Jun 29 2024 13:18:19,"0.1","0",Jun 29 2024 13:18:19,"0",Jun 29 2024 13:18:24
20,Jun 29 2024 13:18:24,00:01:00,Jun 29 2024 13:18:39,"0.1","0",Jun 29 2024 13:19:22,"0",Jun 29 2024 13:19:24
21,Jun 29 2024 13:19:24,00:01:00,Jun 29 2024 13:20:01,"0.1","0",Jun 29 2024 13:20:21,"0",Jun 29 2024 13:20:24
22,Jun 29 2024 13:20:24,00:01:00,Jun 29 2024 13:20:52,"0.1","0",Jun 29 2024 13:20:50,"0",Jun 29 2024 13:21:24
23,Jun 29 2024 13:21:24,00:01:00,Jun 29 2024 13:21:40,"0.1","0",Jun 29 2024 13:22:08,"0",Jun 29 2024 13:22:24
24,Jun 29 2024 13:22:24,00:01:00,Jun 29 2024 13:23:02,"0.1","0",Jun 29 2024 13:22:30,"0",Jun 29 2024 13:23:24
25,Jun 29 2024 13:23:24,00:01:00,Jun 29 2024 13:24:01,"0.1","0",Jun 29 2024 13:23:28,"0",Jun 29 2024 13:24:24
26,Jun 29 2024 13:24:24,00:01:00,Jun 29 2024 13:24:27,"0.1","0",Jun 29 2024 13:24:27,"0",Jun 29 2024 13:25:24
27,Jun 29 2024 13:25:24,00:01:00,Jun 29 2024 13:26:03,"0.1","0",Jun 29 2024 13:26:11,"0",Jun 29 2024 13:26:24
28,Jun 29 2024 13:26:24,00:01:00,Jun 29 2024 13:27:05,"0.1","0",Jun 29 2024 13:26:55,"0",Jun 29 2024 13:27:24
29,Jun 29 2024 13:27:24,00:01:00,Jun 29 2024 13:27:59,"0.1","0",Jun 29 2024 13:28:09,"0",Jun 29 2024 13:28:24
30,Jun 29 2024 13:28:24,00:01:00,Jun 29 2024 13:29:10,"0.1","0",Jun 29 2024 13:29:16,"0",Jun 29 2024 13:29:24
31,Jun 29 2024 13:29:24,00:01:00,Jun 29 2024 13:30:05,"0.1","0",Jun 29 2024 13:30:07,"0",Jun 29 2024 13:30:24
32,Jun 29 2024 13:30:24,00:01:00,Jun 29 2024 13:31:16,"0","0",Jun 29 2024 13:31:12,"0",Jun 29 2024 13:31:24
33,Jun 29 2024 13:31:24,00:01:00,Jun 29 2024 13:31:41,"0","0",Jun 29 2024 13:32:13,"0",Jun 29 2024 13:32:24
34,Jun 29 2024 13:32:24,00:01:00,Jun 29 2024 13:32:41,"0.1","0",Jun 29 2024 13:32:31,"0",Jun 29 2024 13:33:24
35,Jun 29 2024 13:33:24,00:01:00,Jun 29 2024 13:34:06,"0","0",Jun 29 2024 13:34:14,"0",Jun 29 2024 13:34:24
36,Jun 29 2024 13:34:24,00:01:00,Jun 29 2024 13:35:19,"0","0",Jun 29 2024 13:35:10,"0",Jun 29 2024 13:35:24
37,Jun 29 2024 13:35:24,00:01:00,Jun 29 2024 13:35:58,"0","0",Jun 29 2024 13:36:14,"0",Jun 29 2024 13:36:24
38,Jun 29 2024 13:36:24,00:01:00,Jun 29 2024 13:37:05,"0","0",Jun 29 2024 13:36:57,"0",Jun 29 2024 13:37:24
39,Jun 29 2024 13:37:24,00:01:00,Jun 29 2024 13:37:24,"0","0",Jun 29 2024 13:37:33,"0",Jun 29 2024 13:38:24
40,Jun 29 2024 13:38:24,00:01:00,Jun 29 2024 13:39:15,"0.1","0",Jun 29 2024 13:38:56,"0",Jun 29 2024 13:39:24
41,Jun 29 2024 13:39:24,00:01:00,Jun 29 2024 13:40:22,"0.1","0",Jun 29 2024 13:39:30,"0",Jun 29 2024 13:40:24
42,Jun 29 2024 13:40:24,00:01:00,Jun 29 2024 13:41:18,"0","0",Jun 29 2024 13:41:16,"0",Jun 29 2024 13:41:24
43,Jun 29 2024 13:41:24,00:01:00,Jun 29 2024 13:42:15,"0.1","0",Jun 29 2024 13:42:13,"0",Jun 29 2024 13:42:24
44,Jun 29 2024 13:42:24,00:01:00,Jun 29 2024 13:42:26,"0.1","0",Jun 29 2024 13:42:56,"0",Jun 29 2024 13:43:24
45,Jun 29 2024 13:43:24,00:01:00,Jun 29 2024 13:44:07,"0","0",Jun 29 2024 13:44:21,"0",Jun 29 2024 13:44:24
46,Jun 29 2024 13:44:24,00:01:00,Jun 29 2024 13:45:07,"0.1","0",Jun 29 2024 13:44:56,"0",Jun 29 2024 13:45:24
47,Jun 29 2024 13:45:24,00:01:00,Jun 29 2024 13:45:47,"0","0",Jun 29 2024 13:46:12,"0",Jun 29 2024 13:46:24
48,Jun 29 2024 13:46:24,00:01:00,Jun 29 2024 13:47:16,"0.1","0",Jun 29 2024 13:47:20,"0",Jun 29 2024 13:47:24
49,Jun 29 2024 13:47:24,00:01:00,Jun 29 2024 13:48:22,"0","0",Jun 29 2024 13:47:44,"0",Jun 29 2024 13:48:24
50,Jun 29 2024 13:48:24,00:01:00,Jun 29 2024 13:48:39,"0.1","0",Jun 29 2024 13:49:13,"0",Jun 29 2024 13:49:24
51,Jun 29 2024 13:49:24,00:01:00,Jun 29 2024 13:50:23,"0.1","0",Jun 29 2024 13:49:34,"0",Jun 29 2024 13:50:24
52,Jun 29 2024 13:50:24,00:01:00,Jun 29 2024 13:50:54,"0.1","0",Jun 29 2024 13:51:13,"0",Jun 29 2024 13:51:24
53,Jun 29 2024 13:51:24,00:01:00,Jun 29 2024 13:51:49,"0","0",Jun 29 2024 13:51:38,"0",Jun 29 2024 13:52:24
54,Jun 29 2024 13:52:24,00:01:00,Jun 29 2024 13:52:49,"0","0",Jun 29 2024 13:53:06,"0",Jun 29 2024 13:53:24
55,Jun 29 2024 13:53:24,00:01:00,Jun 29 2024 13:53:58,"0.1","0",Jun 29 2024 13:54:01,"0",Jun 29 2024 13:54:24
56,Jun 29 2024 13:54:24,00:01:00,Jun 29 2024 13:54:54,"0.1","0",Jun 29 2024 13:54:29,"0",Jun 29 2024 13:55:24
