Tool Name,A3000FC - B
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 13:01:09,Jun 30 2024 13:56:42,1:00:55:33,00:01:00,1496

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
1,Jun 29 2024 13:01:09,00:01:00,Jun 29 2024 13:01:19,"12","10.9",Jun 29 2024 13:02:00,"10.7",Jun 29 2024 13:02:09
2,Jun 29 2024 13:02:09,00:01:00,Jun 29 2024 13:03:05,"11.5","10.9",Jun 29 2024 13:02:33,"10.6",Jun 29 2024 13:03:09
3,Jun 29 2024 13:03:09,00:01:00,Jun 29 2024 13:03:20,"11.5","11",Jun 29 2024 13:03:44,"10.7",Jun 29 2024 13:04:09
4,Jun 29 2024 13:04:09,00:01:00,Jun 29 2024 13:04:19,"12.3","11",Jun 29 2024 13:04:58,"10.7",Jun 29 2024 13:05:09
5,Jun 29 2024 13:05:09,00:01:00,Jun 29 2024 13:06:04,"12.3","11.1",Jun 29 2024 13:05:30,"10.8",Jun 29 2024 13:06:09
6,Jun 29 2024 13:06:09,00:01:00,Jun 29 2024 13:06:55,"20.5","11.2",Jun 29 2024 13:06:53,"10.4",Jun 29 2024 13:07:09
7,Jun 29 2024 13:07:09,00:01:00,Jun 29 2024 13:07:34,"12.5","11.4",Jun 29 2024 13:07:35,"10.9",Jun 29 2024 13:08:09
8,Jun 29 2024 13:08:09,00:01:00,Jun 29 2024 13:08:34,"12.4","11.3",Jun 29 2024 13:08:35,"11",Jun 29 2024 13:09:09
9,Jun 29 2024 13:09:09,00:01:00,Jun 29 2024 13:09:34,"12.6","11.3",Jun 29 2024 13:09:49,"11",Jun 29 2024 13:10:09
10,Jun 29 2024 13:10:09,00:01:00,Jun 29 2024 13:10:37,"12.1","11.5",Jun 29 2024 13:10:20,"11.1",Jun 29 2024 13:11:09
11,Jun 29 2024 13:11:09,00:01:00,Jun 29 2024 13:11:50,"12.1","11.4",Jun 29 2024 13:11:43,"11.2",Jun 29 2024 13:12:09
12,Jun 29 2024 13:12:09,00:01:00,Jun 29 2024 13:12:34,"12.6","11.3",Jun 29 2024 13:12:51,"10.7",Jun 29 2024 13:13:09
13,Jun 29 2024 13:13:09,00:01:00,Jun 29 2024 13:13:49,"12.2","10.9",Jun 29 2024 13:13:49,"10.6",Jun 29 2024 13:14:09
14,Jun 29 2024 13:14:09,00:01:00,Jun 29 2024 13:15:05,"11.7","10.9",Jun 29 2024 13:14:49,"10.6",Jun 29 2024 13:15:09
15,Jun 29 2024 13:15:09,00:01:00,Jun 29 2024 13:15:50,"12.1","10.8",Jun 29 2024 13:16:04,"10.4",Jun 29 2024 13:16:09
16,Jun 29 2024 13:16:09,00:01:00,Jun 29 2024 13:16:41,"12.5","10.7",Jun 29 2024 13:16:32,"10.4",Jun 29 2024 13:17:09
17,Jun 29 2024 13:17:09,00:01:00,Jun 29 2024 13:18:04,"11.5","10.9",Jun 29 2024 13:17:12,"10.7",Jun 29 2024 13:18:09
18,Jun 29 2024 13:18:09,00:01:00,Jun 29 2024 13:18:34,"11.9","10.8",Jun 29 2024 13:18:19,"10.6",Jun 29 2024 13:19:09
19,Jun 29 2024 13:19:09,00:01:00,Jun 29 2024 13:19:34,"11.3","10.8",Jun 29 2024 13:20:05,"10.6",Jun 29 2024 13:20:09
20,Jun 29 2024 13:20:09,00:01:00,Jun 29 2024 13:20:52,"20.6","11.3",Jun 29 2024 13:20:12,"10.6",Jun 29 2024 13:21:09
21,Jun 29 2024 13:21:09,00:01:00,Jun 29 2024 13:21:34,"12","11.2",Jun 29 2024 13:21:55,"10.9",Jun 29 2024 13:22:09
22,Jun 29 2024 13:22:09,00:01:00,Jun 29 2024 13:23:01,"27","11.7",Jun 29 2024 13:22:19,"11.1",Jun 29 2024 13:23:09
23,Jun 29 2024 13:23:09,00:01:00,Jun 29 2024 13:23:34,"13.2","12.3",Jun 29 2024 13:24:03,"12",Jun 29 2024 13:24:09
24,Jun 29 2024 13:24:09,00:01:00,Jun 29 2024 13:25:04,"13.4","12.2",Jun 29 2024 13:24:54,"11.8",Jun 29 2024 13:25:09
25,Jun 29 2024 13:25:09,00:01:00,Jun 29 2024 13:25:19,"13.6","12",Jun 29 2024 13:25:34,"11.8",Jun 29 2024 13:26:09
26,Jun 29 2024 13:26:09,00:01:00,Jun 29 2024 13:26:19,"12.8","12.2",Jun 29 2024 13:26:50,"12",Jun 29 2024 13:27:09
27,Jun 29 2024 13:27:09,00:01:00,Jun 29 2024 13:28:04,"12.8","12.1",Jun 29 2024 13:27:48,"11.9",Jun 29 2024 13:28:09
28,Jun 29 2024 13:28:09,00:01:00,Jun 29 2024 13:28:34,"12.8","12.2",Jun 29 2024 13:28:53,"11.8",Jun 29 2024 13:29:09
29,Jun 29 2024 13:29:09,00:01:00,Jun 29 2024 13:29:19,"12.7","12.1",Jun 29 2024 13:30:07,"11.7",Jun 29 2024 13:30:09
30,Jun 29 2024 13:30:09,00:01:00,Jun 29 2024 13:30:34,"13.4","11.9",Jun 29 2024 13:31:06,"10.7",Jun 29 2024 13:31:09
