Model Number,FLUKE A3000FC
Tool Name,A3000FC - A
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 12:59:17,Jun 30 2024 13:52:27,1:00:53:10,00:01:00,1494

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
1,Jun 29 2024 12:59:17,00:01:00,Jun 29 2024 12:59:32,"0.1","0.1",Jun 29 2024 13:00:11,"0.1",Jun 29 2024 13:00:17
2,Jun 29 2024 13:00:17,00:01:00,Jun 29 2024 13:01:13,"0.1","0.1",Jun 29 2024 13:01:17,"0.1",Jun 29 2024 13:01:17
3,Jun 29 2024 13:01:17,00:01:00,Jun 29 2024 13:02:05,"0.1","0.1",Jun 29 2024 13:02:17,"0.1",Jun 29 2024 13:02:17
4,Jun 29 2024 13:02:17,00:01:00,Jun 29 2024 13:03:04,"1","0.1",Jun 29 2024 13:03:05,"0",Jun 29 2024 13:03:17
5,Jun 29 2024 13:03:17,00:01:00,Jun 29 2024 13:04:07,"0.1","0",Jun 29 2024 13:03:35,"0",Jun 29 2024 13:04:17
6,Jun 29 2024 13:04:17,00:01:00,Jun 29 2024 13:04:57,"0","0",Jun 29 2024 13:04:49,"0",Jun 29 2024 13:05:17
7,Jun 29 2024 13:05:17,00:01:00,Jun 29 2024 13:05:55,"0.1","0",Jun 29 2024 13:05:52,"0",Jun 29 2024 13:06:17
8,Jun 29 2024 13:06:17,00:01:00,Jun 29 2024 13:06:49,"0.1","0",Jun 29 2024 13:06:43,"0",Jun 29 2024 13:07:17
9,Jun 29 2024 13:07:17,00:01:00,Jun 29 2024 13:08:15,"0.1","0",Jun 29 2024 13:08:03,"0",Jun 29 2024 13:08:17
10,Jun 29 2024 13:08:17,00:01:00,Jun 29 2024 13:08:57,"0.1","0",Jun 29 2024 13:08:44,"0",Jun 29 2024 13:09:17
11,Jun 29 2024 13:09:17,00:01:00,Jun 29 2024 13:10:07,"0","0",Jun 29 2024 13:09:25,"0",Jun 29 2024 13:10:17
12,Jun 29 2024 13:10:17,00:01:00,Jun 29 2024 13:10:45,"0.1","0",Jun 29 2024 13:10:25,"0",Jun 29 2024 13:11:17
13,Jun 29 2024 13:11:17,00:01:00,Jun 29 2024 13:12:07,"0.1","0",Jun 29 2024 13:11:31,"0",Jun 29 2024 13:12:17
14,Jun 29 2024 13:12:17,00:01:00,Jun 29 2024 13:13:16,"0.1","0",Jun 29 2024 13:13:15,"0",Jun 29 2024 13:13:17
15,Jun 29 2024 13:13:17,00:01:00,Jun 29 2024 13:14:16,"0.1","0",Jun 29 2024 13:13:52,"0",Jun 29 2024 13:14:17
16,Jun 29 2024 13:14:17,00:01:00,Jun 29 2024 13:14:48,"0.1","0",Jun 29 2024 13:14:32,"0",Jun 29 2024 13:15:17
17,Jun 29 2024 13:15:17,00:01:00,Jun 29 2024 13:15:54,"0.1","0",Jun 29 2024 13:15:21,"0",Jun 29 2024 13:16:17
18,Jun 29 2024 13:16:17,00:01:00,Jun 29 2024 13:17:05,"0.1","0",Jun 29 2024 13:16:18,"0",Jun 29 2024 13:17:17
19,Jun 29 2024 13:17:17,00:01:00,Jun 29 2024 13:18:12,"0.1","0",Jun 29 2024 13:18:12,"0",Jun 29 2024 13:18:17
20,Jun 29 2024 13:18:17,00:01:00,Jun 29 2024 13:18:32,"0.1","0",Jun 29 2024 13:19:15,"0",Jun 29 2024 13:19:17
21,Jun 29 2024 13:19:17,00:01:00,Jun 29 2024 13:19:54,"0.1","0",Jun 29 2024 13:20:14,"0",Jun 29 2024 13:20:17
22,Jun 29 2024 13:20:17,00:01:00,Jun 29 2024 13:20:45,"0.1","0",Jun 29 2024 13:20:43,"0",Jun 29 2024 13:21:17
23,Jun 29 2024 13:21:17,00:01:00,Jun 29 2024 13:21:33,"0.1","0",Jun 29 2024 13:22:01,"0",Jun 29 2024 13:22:17
24,Jun 29 2024 13:22:17,00:01:00,Jun 29 2024 13:22:55,"0.1","0",Jun 29 2024 13:22:23,"0",Jun 29 2024 13:23:17
25,Jun 29 2024 13:23:17,00:01:00,Jun 29 2024 13:23:54,"0.1","0",Jun 29 2024 13:23:21,"0",Jun 29 2024 13:24:17
26,Jun 29 2024 13:24:17,00:01:00,Jun 29 2024 13:24:20,"0.1","0",Jun 29 2024 13:24:20,"0",Jun 29 2024 13:25:17
27,Jun 29 2024 13:25:17,00:01:00,Jun 29 2024 13:25:56,"0.1","0",Jun 29 2024 13:26:04,"0",Jun 29 2024 13:26:17
28,Jun 29 2024 13:26:17,00:01:00,Jun 29 2024 13:26:58,"0.1","0",Jun 29 2024 13:26:48,"0",Jun 29 2024 13:27:17
29,Jun 29 2024 13:27:17,00:01:00,Jun 29 2024 13:27:52,"0.1","0",Jun 29 2024 13:28:02,"0",Jun 29 2024 13:28:17
30,Jun 29 2024 13:28:17,00:01:00,Jun 29 2024 13:29:03,"0.1","0",Jun 29 2024 13:29:09,"0",Jun 29 2024 13:29:17
31,Jun 29 2024 13:29:17,00:01:00,Jun 29 2024 13:29:58,"0.1","0",Jun 29 2024 13:30:00,"0",Jun 29 2024 13:30:17
32,Jun 29 2024 13:30:17,00:01:00,Jun 29 2024 13:31:09,"0","0",Jun 29 2024 13:31:05,"0",Jun 29 2024 13:31:17
33,Jun 29 2024 13:31:17,00:01:00,Jun 29 2024 13:31:34,"0","0",Jun 29 2024 13:32:06,"0",Jun 29 2024 13:32:17
34,Jun 29 2024 13:32:17,00:01:00,Jun 29 2024 13:32:34,"0.1","0",Jun 29 2024 13:32:24,"0",Jun 29 2024 13:33:17
35,Jun 29 2024 13:33:17,00:01:00,Jun 29 2024 13:33:59,"0","0",Jun 29 2024 13:34:07,"0",Jun 29 2024 13:34:17
36,Jun 29 2024 13:34:17,00:01:00,Jun 29 2024 13:35:12,"0","0",Jun 29 2024 13:35:03,"0",Jun 29 2024 13:35:17
37,Jun 29 2024 13:35:17,00:01:00,Jun 29 2024 13:35:51,"0","0",Jun 29 2024 13:36:07,"0",Jun 29 2024 13:36:17
38,Jun 29 2024 13:36:17,00:01:00,Jun 29 2024 13:36:58,"0","0",Jun 29 2024 13:36:50,"0",Jun 29 2024 13:37:17
39,Jun 29 2024 13:37:17,00:01:00,Jun 29 2024 13:37:17,"0","0",Jun 29 2024 13:37:26,"0",Jun 29 2024 13:38:17
40,Jun 29 2024 13:38:17,00:01:00,Jun 29 2024 13:39:08,"0.1","0",Jun 29 2024 13:38:49,"0",Jun 29 2024 13:39:17
41,Jun 29 2024 13:39:17,00:01:00,Jun 29 2024 13:40:15,"0.1","0",Jun 29 2024 13:39:23,"0",Jun 29 2024 13:40:17
42,Jun 29 2024 13:40:17,00:01:00,Jun 29 2024 13:41:11,"0","0",Jun 29 2024 13:41:09,"0",Jun 29 2024 13:41:17
43,Jun 29 2024 13:41:17,00:01:00,Jun 29 2024 13:42:08,"0.1","0",Jun 29 2024 13:42:06,"0",Jun 29 2024 13:42:17
44,Jun 29 2024 13:42:17,00:01:00,Jun 29 2024 13:42:19,"0.1","0",Jun 29 2024 13:42:49,"0",Jun 29 2024 13:43:17
45,Jun 29 2024 13:43:17,00:01:00,Jun 29 2024 13:44:00,"0","0",Jun 29 2024 13:44:14,"0",Jun 29 2024 13:44:17
46,Jun 29 2024 13:44:17,00:01:00,Jun 29 2024 13:45:00,"0.1","0",Jun 29 2024 13:44:49,"0",Jun 29 2024 13:45:17
47,Jun 29 2024 13:45:17,00:01:00,Jun 29 2024 13:45:40,"0","0",Jun 29 2024 13:46:05,"0",Jun 29 2024 13:46:17
48,Jun 29 2024 13:46:17,00:01:00,Jun 29 2024 13:47:09,"0.1","0",Jun 29 2024 13:47:13,"0",Jun 29 2024 13:47:17
49,Jun 29 2024 13:47:17,00:01:00,Jun 29 2024 13:48:15,"0","0",Jun 29 2024 13:47:37,"0",Jun 29 2024 13:48:17
