Model Number,FLUKE A3000FC
Tool Name,A3000FC - B
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 13:01:01,Jun 30 2024 13:56:34,1:00:55:33,00:01:00,1496

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
1,Jun 29 2024 13:01:01,00:01:00,Jun 29 2024 13:01:11,"12","10.9",Jun 29 2024 13:01:52,"10.7",Jun 29 2024 13:02:01
2,Jun 29 2024 13:02:01,00:01:00,Jun 29 2024 13:02:57,"11.5","10.9",Jun 29 2024 13:02:25,"10.6",Jun 29 2024 13:03:01
3,Jun 29 2024 13:03:01,00:01:00,Jun 29 2024 13:03:12,"11.5","11",Jun 29 2024 13:03:36,"10.7",Jun 29 2024 13:04:01
4,Jun 29 2024 13:04:01,00:01:00,Jun 29 2024 13:04:11,"12.3","11",Jun 29 2024 13:04:50,"10.7",Jun 29 2024 13:05:01
5,Jun 29 2024 13:05:01,00:01:00,Jun 29 2024 13:05:56,"12.3","11.1",Jun 29 2024 13:05:22,"10.8",Jun 29 2024 13:06:01
6,Jun 29 2024 13:06:01,00:01:00,Jun 29 2024 13:06:47,"20.5","11.2",Jun 29 2024 13:06:45,"10.4",Jun 29 2024 13:07:01
7,Jun 29 2024 13:07:01,00:01:00,Jun 29 2024 13:07:26,"12.5","11.4",Jun 29 2024 13:07:27,"10.9",Jun 29 2024 13:08:01
8,Jun 29 2024 13:08:01,00:01:00,Jun 29 2024 13:08:26,"12.4","11.3",Jun 29 2024 13:08:27,"11",Jun 29 2024 13:09:01
9,Jun 29 2024 13:09:01,00:01:00,Jun 29 2024 13:09:26,"12.6","11.3",Jun 29 2024 13:09:41,"11",Jun 29 2024 13:10:01
10,Jun 29 2024 13:10:01,00:01:00,Jun 29 2024 13:10:29,"12.1","11.5",Jun 29 2024 13:10:12,"11.1",Jun 29 2024 13:11:01
11,Jun 29 2024 13:11:01,00:01:00,Jun 29 2024 13:11:42,"12.1","11.4",Jun 29 2024 13:11:35,"11.2",Jun 29 2024 13:12:01
12,Jun 29 2024 13:12:01,00:01:00,Jun 29 2024 13:12:26,"12.6","11.3",Jun 29 2024 13:12:43,"10.7",Jun 29 2024 13:13:01
13,Jun 29 2024 13:13:01,00:01:00,Jun 29 2024 13:13:41,"12.2","10.9",Jun 29 2024 13:13:41,"10.6",Jun 29 2024 13:14:01
14,Jun 29 2024 13:14:01,00:01:00,Jun 29 2024 13:14:57,"11.7","10.9",Jun 29 2024 13:14:41,"10.6",Jun 29 2024 13:15:01
15,Jun 29 2024 13:15:01,00:01:00,Jun 29 2024 13:15:42,"12.1","10.8",Jun 29 2024 13:15:56,"10.4",Jun 29 2024 13:16:01
16,Jun 29 2024 13:16:01,00:01:00,Jun 29 2024 13:16:33,"12.5","10.7",Jun 29 2024 13:16:24,"10.4",Jun 29 2024 13:17:01
17,Jun 29 2024 13:17:01,00:01:00,Jun 29 2024 13:17:56,"11.5","10.9",Jun 29 2024 13:17:04,"10.7",Jun 29 2024 13:18:01
18,Jun 29 2024 13:18:01,00:01:00,Jun 29 2024 13:18:26,"11.9","10.8",Jun 29 2024 13:18:11,"10.6",Jun 29 2024 13:19:01
19,Jun 29 2024 13:19:01,00:01:00,Jun 29 2024 13:19:26,"11.3","10.8",Jun 29 2024 13:19:57,"10.6",Jun 29 2024 13:20:01
20,Jun 29 2024 13:20:01,00:01:00,Jun 29 2024 13:20:44,"20.6","11.3",Jun 29 2024 13:20:04,"10.6",Jun 29 2024 13:21:01
21,Jun 29 2024 13:21:01,00:01:00,Jun 29 2024 13:21:26,"12","11.2",Jun 29 2024 13:21:47,"10.9",Jun 29 2024 13:22:01
22,Jun 29 2024 13:22:01,00:01:00,Jun 29 2024 13:22:53,"27","11.7",Jun 29 2024 13:22:11,"11.1",Jun 29 2024 13:23:01
23,Jun 29 2024 13:23:01,00:01:00,Jun 29 2024 13:23:26,"13.2","12.3",Jun 29 2024 13:23:55,"12",Jun 29 2024 13:24:01
24,Jun 29 2024 13:24:01,00:01:00,Jun 29 2024 13:24:56,"13.4","12.2",Jun 29 2024 13:24:46,"11.8",Jun 29 2024 13:25:01
25,Jun 29 2024 13:25:01,00:01:00,Jun 29 2024 13:25:11,"13.6","12",Jun 29 2024 13:25:26,"11.8",Jun 29 2024 13:26:01
26,Jun 29 2024 13:26:01,00:01:00,Jun 29 2024 13:26:11,"12.8","12.2",Jun 29 2024 13:26:42,"12",Jun 29 2024 13:27:01
27,Jun 29 2024 13:27:01,00:01:00,Jun 29 2024 13:27:56,"12.8","12.1",Jun 29 2024 13:27:40,"11.9",Jun 29 2024 13:28:01
28,Jun 29 2024 13:28:01,00:01:00,Jun 29 2024 13:28:26,"12.8","12.2",Jun 29 2024 13:28:45,"11.8",Jun 29 2024 13:29:01
29,Jun 29 2024 13:29:01,00:01:00,Jun 29 2024 13:29:11,"12.7","12.1",Jun 29 2024 13:29:59,"11.7",Jun 29 2024 13:30:01
30,Jun 29 2024 13:30:01,00:01:00,Jun 29 2024 13:30:26,"13.4","11.9",Jun 29 2024 13:30:58,"10.7",Jun 29 2024 13:31:01
31,Jun 29 2024 13:31:01,00:01:00,Jun 29 2024 13:31:11,"12","10.8",Jun 29 2024 13:31:11,"10.4",Jun 29 2024 13:32:01
32,Jun 29 2024 13:32:01,00:01:00,Jun 29 2024 13:32:41,"11.6","10.9",Jun 29 2024 13:32:56,"10.5",Jun 29 2024 13:33:01
33,Jun 29 2024 13:33:01,00:01:00,Jun 29 2024 13:33:41,"11.7","10.9",Jun 29 2024 13:33:07,"10.6",Jun 29 2024 13:34:01
34,Jun 29 2024 13:34:01,00:01:00,Jun 29 2024 13:34:56,"12","10.9",Jun 29 2024 13:34:14,"10.6",Jun 29 2024 13:35:01
35,Jun 29 2024 13:35:01,00:01:00,Jun 29 2024 13:35:26,"11.9","10.9",Jun 29 2024 13:35:26,"10.6",Jun 29 2024 13:36:01
36,Jun 29 2024 13:36:01,00:01:00,Jun 29 2024 13:36:26,"11.9","10.8",Jun 29 2024 13:36:27,"10.5",Jun 29 2024 13:37:01
37,Jun 29 2024 13:37:01,00:01:00,Jun 29 2024 13:37:41,"11.6","10.8",Jun 29 2024 13:37:27,"10.5",Jun 29 2024 13:38:01
38,Jun 29 2024 13:38:01,00:01:00,Jun 29 2024 13:38:41,"11.9","10.8",Jun 29 2024 13:38:21,"10.5",Jun 29 2024 13:39:01
39,Jun 29 2024 13:39:01,00:01:00,Jun 29 2024 13:39:57,"12.7","10.8",Jun 29 2024 13:39:11,"10.4",Jun 29 2024 13:40:01
40,Jun 29 2024 13:40:01,00:01:00,Jun 29 2024 13:40:01,"12.2","11.1",Jun 29 2024 13:41:00,"10.5",Jun 29 2024 13:41:01
41,Jun 29 2024 13:41:01,00:01:00,Jun 29 2024 13:41:11,"11.6","10.9",Jun 29 2024 13:41:11,"10.5",Jun 29 2024 13:42:01
42,Jun 29 2024 13:42:01,00:01:00,Jun 29 2024 13:42:41,"11.6","10.7",Jun 29 2024 13:42:26,"10.4",Jun 29 2024 13:43:01
43,Jun 29 2024 13:43:01,00:01:00,Jun 29 2024 13:43:56,"11.8","10.8",Jun 29 2024 13:43:56,"10.3",Jun 29 2024 13:44:01
44,Jun 29 2024 13:44:01,00:01:00,Jun 29 2024 13:44:41,"11.9","10.7",Jun 29 2024 13:44:06,"10.3",Jun 29 2024 13:45:01
45,Jun 29 2024 13:45:01,00:01:00,Jun 29 2024 13:45:26,"11.8","10.7",Jun 29 2024 13:45:02,"10.4",Jun 29 2024 13:46:01
