Station ID,Name,City,County
BUF,WEST,Buffalo, Erie County
IAG,WEST,Niagara Falls, Niagara County
ELZ,GENESE,Wellsville, Allegany County
ROC,GENESE,Rochester, Monroe County
ELM,CENTRL,Elmira, Chemung County
ITH,CENTRL,Ithaca, Tompkins County
SYR,CENTRL,Syracuse , Onondaga County
BGM,CENTRL,Binghampton, Broome County
PLB,NORTH,Plattsburgh, Clinton County
MSS,MHK VL,Massena, St. Lawrence County
MSV,MHK VL,Monticello, Sullivan County
ART,MHK VL,Watertown, Jefferson County
SLK,MHK VL,Saranac Lake, Franklin County and Essex County
UCA,MHK VL,Rome, Oneida County
ALB,CAPITL,Albany, Albany County
GFL,CAPITL,Glens Falls, Warren County
POU,HUD VL,Poughkeepsie , Dutchess County
SWF,MILLWD,Newburgh, Orange County
HPN,DUNWOD,White Plains, Westchester County
NYC,N.Y.C.,NYC - Central Park, Kings County
JFK,N.Y.C.,JFK airport, Queens County
LGA,N.Y.C.,LaGuardia airport, Hudson County
FOK,LONGIL,Westhampton Beach, Suffolk County
FRG,LONGIL,Farmingdale, Nassau County
ISP,LONGIL,Islip, Suffolk County
